Time,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-Z,Ambient Temp
17:15.6,-2.95683905,8.793902698,1.216254443,5.687022901,-22.95419847,-15.16793893,23.15
17:15.8,-1.201889233,9.12909093,1.426944189,7.648854962,-13.94656489,-2.778625954,23.13
17:15.9,-2.987963672,8.911218579,1.302445703,8.229007634,-19.72519084,1.34351145,23.13
17:16.0,-3.189076611,8.884882361,1.345541333,7.824427481,-17.19847328,1.618320611,23.15
17:16.1,-3.181894006,9.208099585,1.338358728,15.01526718,-75.99236641,-3.664122137,23.13
17:16.2,-3.308786694,9.07163009,1.910572925,2.549618321,-38.78625954,-12.87022901,23.17
17:16.4,-1.517923853,9.198522778,3.306392493,-13.46564885,-45.64885496,-19.85496183,23.15
17:16.5,-3.299209888,8.904035974,2.504334937,-17.76335878,-37.10687023,-24.40458015,23.15
17:16.6,-2.272097375,8.372523206,2.291250989,-18.7480916,-1.236641221,-20.28244275,23.15
17:16.7,-2.178723511,7.824251025,2.154781494,4.221374046,19.05343511,4.351145038,23.13
17:16.8,-2.410961072,8.528146313,3.667916943,19.30534351,-24.78625954,26.55725191,23.15
17:17.0,-2.738966699,8.602366565,2.621650818,19.81679389,-12.03053435,27.39694656,23.15
17:17.1,-3.268085266,8.746018665,3.009511487,7.984732824,7.450381679,16.32061069,23.15
17:17.2,-2.801215942,9.050082275,2.765302917,5.244274809,-6.167938931,10.75572519,21.23
17:17.3,-2.736572498,8.990227234,2.33674082,-6.465648855,10.22137405,-3.732824427,23.17
17:17.4,-2.516305945,8.925583789,2.487575525,-3.244274809,-1.229007634,-2.824427481,23.15
17:17.6,-2.42293208,9.064447485,2.214636536,-2.641221374,-0.549618321,-0.244274809,23.17
17:17.7,-2.207453931,8.786720093,2.288856787,-0.358778626,-4.27480916,2.312977099,23.15
17:17.8,-2.243366956,9.10036051,2.413355273,-0.946564885,-1.595419847,1.259541985,23.21
17:17.9,-2.288856787,8.954314209,2.355894434,-0.893129771,-2.282442748,1.854961832,23.19
17:18.0,-2.375048047,8.963891016,2.497152332,-6.045801527,1.404580153,0.946564885,23.17
17:18.2,-2.217030737,8.918401184,2.396595862,0.381679389,4.717557252,1.419847328,23.17
17:18.3,-2.372653845,8.880093958,2.310404602,3.503816794,-2.175572519,2.198473282,23.15
17:18.4,-2.667140649,8.892064966,2.410961072,0.251908397,3.72519084,-1.687022901,23.19
17:18.5,-2.257732166,8.920795386,2.384624854,0.358778626,-3.244274809,-3.832061069,23.15
17:18.6,-2.185906116,9.011775049,2.197877124,3.320610687,-2.167938931,-0.175572519,23.17
17:18.8,-2.171540906,9.009380847,1.905784521,4.65648855,1.801526718,3.358778626,23.19
