Time,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-Z,Ambient Temp
12:27.2,-2.918531824,8.213707829,3.829924589,-1.590330789,-2.944020356,0.534351145,23.94333333
12:27.2,-2.924118294,8.184977409,3.863443412,-1.600508906,-2.417302799,0.638676845,23.93666667
12:27.3,-2.948858378,8.199342619,3.870626017,-1.781170483,-2.356234097,0.284987277,23.93666667
12:27.3,-2.912945353,8.202534888,3.814761312,-1.615776081,-2.51653944,0.445292621,23.94333333
12:27.4,-2.881022664,8.212111694,3.88419316,-1.386768448,-2.541984733,0.318066158,23.95
12:27.4,-2.835532833,8.192160014,3.845087866,-1.27735369,-2.239185751,0.435114504,23.95
12:27.4,-2.790841069,8.028556234,3.804386438,-1.160305344,-4.318066158,1.363867684,23.94333333
12:27.5,-2.182713847,8.279947408,3.827530387,-0.284987277,-9.389312977,2.03307888,23.93666667
12:27.5,-2.288856787,8.244034383,3.913721647,-0.27735369,-5.819338422,3.704834606,23.93
12:27.6,-2.464431576,8.599972363,4.11084425,-2.1043257,-6.928753181,6.717557252,23.93
12:27.6,-2.987963672,8.093997746,3.931279126,-3.984732824,-3.374045802,7.770992366,23.93
12:27.7,-3.038241907,8.007806486,3.860251143,-4.007633588,1.796437659,11.32315522,23.94333333
12:27.7,-2.473210315,7.928797831,3.854664673,-2.384223919,7.89821883,19.57251908,23.95666667
12:27.8,-2.371057711,8.381301945,3.97597089,-0.544529262,4.882951654,32.10941476,23.94333333
12:27.8,-2.283270317,8.646260262,3.908135177,0.229007634,-1.994910941,34.61832061,23.91666667
12:27.9,-2.906560815,8.29670682,3.788425094,1.338422392,-0.778625954,22.41984733,23.91
12:27.9,-2.805206278,8.470685474,3.767675346,1.10178117,10.26717557,7.376590331,23.93
12:27.9,-2.525882751,8.261591862,3.888981563,0.315521628,12.47073791,0.353689567,23.95
12:28.0,-2.317587207,8.774749084,3.822741984,-0.366412214,11.86768448,-1.740458015,23.95
12:28.0,-2.304818132,8.524954045,3.827530387,-0.730279898,2.984732824,0.669211196,23.95
12:28.1,-2.277683846,8.649452531,3.820347782,-0.41475827,-5.081424936,0.727735369,23.95
12:28.1,-1.935313009,8.328629508,3.878606689,-1.073791349,-8.010178117,0.765903308,23.95
12:28.2,-1.869073429,8.564059338,3.84109753,-0.389312977,-2.541984733,-3.117048346,23.95
12:28.2,-1.691104439,8.538521187,3.829126522,-0.389312977,3.045801527,-5.050890585,23.95
12:28.2,-2.263318636,8.71569211,3.815559379,0.486005089,3.720101781,0.908396947,23.95
12:28.3,-2.620054683,8.369330937,3.843491732,0.363867684,-0.318066158,5.111959288,23.95
12:28.3,-2.874638127,8.227274972,3.744531396,-0.231552163,-0.147582697,4.501272265,23.95
12:28.4,-2.454854769,8.334215979,3.732560388,-1.307888041,2.506361323,-1.643765903,23.95
12:28.4,-1.948082084,8.688557825,3.733358455,-2.150127226,13.3129771,-4.702290076,23.95
12:28.5,-1.822785531,9.161811686,3.727771985,-1.295165394,12.8524173,-0.712468193,23.95
12:28.5,-1.69669091,9.230445467,3.698243498,-1.577608142,1.62086514,6.753180662,23.95666667
12:28.6,-1.817997127,9.140263871,3.707022237,-1.580152672,-15.99236641,15.34351145,23.96333333
12:28.6,-1.74537301,8.814652445,3.622427112,-4.127226463,-16.33842239,18.83715013,23.95666667
12:28.6,-1.663172087,8.611943372,3.57693728,-6.389312977,-13.91857506,18.46819338,23.94333333
12:28.7,-2.041455949,8.113949426,3.730166187,-7.081424936,-21.49872774,24.44783715,23.93
12:28.7,-2.434903088,8.716490177,4.039018201,-5.475826972,-29.82442748,23.72010178,23.93666667
12:28.8,-2.14440662,8.663019674,4.367821895,-4.091603053,-21.51145038,16.63613232,23.94333333
12:28.8,-1.891419312,9.419587398,4.347072148,-4.435114504,-8.10178117,2.849872774,23.94333333
12:28.9,-1.365493014,9.026140259,4.126805595,-4.93129771,-9.183206107,-5.513994911,23.93666667
12:28.9,-1.237802258,8.901641772,3.760492741,-5.246819338,-29.87022901,-3.989821883,23.93666667
12:29.0,-0.656809322,8.573636145,3.762886943,0.254452926,-24.89312977,-1.091603053,23.94333333
12:29.0,-0.371101257,8.47467581,3.96160568,2.452926209,-8.353689567,-0.099236641,23.95
12:29.0,-0.673568734,8.651846733,4.12520946,5.106870229,13.44529262,-1.600508906,23.95
12:29.1,-1.001574361,8.646260262,3.93287526,0.905852417,4.287531807,-8.951653944,23.95
12:29.1,-1.431732593,8.825027319,3.810770976,-1.610687023,-10.08396947,-7.941475827,23.95
12:29.2,-1.129265116,8.86493068,4.003105176,-2.903307888,-13.35114504,-7.755725191,23.95
12:29.2,-0.806047892,8.921593453,4.260880888,-3.72264631,-18.49872774,-3.002544529,23.95
12:29.3,-0.938527051,8.866526815,4.308764921,-3.982188295,-14.3307888,-3.351145038,23.95
12:29.3,-1.448492004,8.678981018,4.278438367,-3.491094148,-15.84478372,-7.567430025,23.95
12:29.3,-1.99516805,8.697336564,4.335101139,-2.811704835,3.389312977,-23.06615776,23.95
12:29.4,-1.843535278,8.425195642,4.572925171,-3.081424936,14.07124682,-39.37150127,23.95
12:29.4,-1.598528642,8.648654464,4.413311727,-4.086513995,20.05597964,-40.84987277,23.95
12:29.5,-1.371079484,8.473079675,3.915317782,-3.223918575,16.44529262,-24.68193384,23.95
12:29.5,-1.626460994,8.432378247,3.79241543,-2.10178117,12.48600509,-8.03307888,23.95
12:29.6,-1.825977799,8.3166585,3.956817277,-0.132315522,8.615776081,-1.513994911,23.95
12:29.6,-2.019908134,8.453926062,4.418898197,-0.511450382,5.282442748,0.880407125,23.95
12:29.7,-1.877852169,8.666211943,4.327918534,1.562340967,6.93129771,4.832061069,23.95
12:29.7,-2.139618217,8.598376229,4.118026855,1.949109415,7.865139949,9.295165394,23.95666667
12:29.7,-2.162762166,8.435570516,3.935269462,1.633587786,7.890585242,9.776081425,23.96333333
12:29.8,-2.214636536,8.390080684,3.828328455,0.547073791,4.470737913,8.730279898,23.96333333
12:29.8,-7.927201697,10.79864755,2.327164014,-7.371501272,-9.368956743,-70.61832061,23.95666667
12:29.9,-10.81859924,9.647834623,3.356670728,-18.49363868,-25.22900763,-70.78625954,23.95
12:29.9,-9.149840678,10.03888756,3.43647745,-22.20356234,-3.597964377,-88.39694656,23.95
12:30.0,-3.270479468,7.723694556,4.845066093,-13.17048346,6.534351145,-8.083969466,23.95666667
12:30.0,-0.579396802,9.06604362,3.593696692,3.254452926,13.03562341,-1.486005089,23.96333333
12:30.0,-2.504334937,8.176996737,3.434083248,11.84478372,-17.32315522,22.81679389,23.97
12:30.1,-2.964021655,8.231265308,3.596888961,13.19338422,-18.60559796,24.84732824,23.97
12:30.1,-3.127625435,8.037334973,4.036623999,8.430025445,-12.6870229,17.70483461,23.97
12:30.2,-3.124433167,8.30229329,4.469176432,0.735368957,-9.330788804,7.631043257,23.96333333
12:30.2,-2.783658464,8.375715474,4.695827523,-4.442748092,-11.15267176,0.480916031,23.95666667
12:30.2,-2.434903088,8.425993709,4.698221724,-7.223918575,-8.765903308,-2.549618321,23.95
12:30.3,-2.098118722,8.640673792,4.564944499,-4.48346056,-14.90839695,-4.592875318,23.95
12:30.3,-1.800439648,8.524155977,4.499502987,-1.524173028,-19.18829517,-4.402035623,23.95
12:30.3,-1.757344019,8.373321273,4.339091475,2.050890585,-23.49363868,-3.796437659,23.95
12:30.4,-1.690306372,8.227274972,4.209006519,3.470737913,-17.44020356,-0.720101781,23.95
12:30.4,-1.816400993,8.028556234,4.172295426,2.272264631,-9.005089059,0.134860051,23.95
